frame,class,prob,xmin,ymin,xmax,ymax
5,car,0.6408454179763794,925,588,1076,727
5,truck,0.5663377642631531,580,471,866,745
5,car,0.5597865581512451,203,564,334,642
5,traffic light,0.32945162057876587,942,422,959,464
5,car,0.31675517559051514,874,589,911,614
5,traffic light,0.3097033202648163,838,430,854,466
5,traffic light,0.2840956747531891,654,278,682,357
5,car,0.26190608739852905,929,589,1071,692
6,car,0.6408454179763794,925,588,1076,727
6,truck,0.5663377642631531,580,471,866,745
6,car,0.5597865581512451,203,564,334,642
6,traffic light,0.32945162057876587,942,422,959,464
6,car,0.31675517559051514,874,589,911,614
6,traffic light,0.3097033202648163,838,430,854,466
6,traffic light,0.2840956747531891,654,278,682,357
6,car,0.26190608739852905,929,589,1071,692
7,car,0.6408454179763794,925,588,1076,727
7,truck,0.5663377642631531,580,471,866,745
7,car,0.5597865581512451,203,564,334,642
7,traffic light,0.32945162057876587,942,422,959,464
7,car,0.31675517559051514,874,589,911,614
7,traffic light,0.3097033202648163,838,430,854,466
7,traffic light,0.2840956747531891,654,278,682,357
7,car,0.26190608739852905,929,589,1071,692
8,car,0.6408454179763794,925,588,1076,727
8,truck,0.5663377642631531,580,471,866,745
8,car,0.5597865581512451,203,564,334,642
8,traffic light,0.32945162057876587,942,422,959,464
8,car,0.31675517559051514,874,589,911,614
8,traffic light,0.3097033202648163,838,430,854,466
8,traffic light,0.2840956747531891,654,278,682,357
8,car,0.26190608739852905,929,589,1071,692
9,car,0.6408454179763794,925,588,1076,727
9,truck,0.5663377642631531,580,471,866,745
9,car,0.5597865581512451,203,564,334,642
9,traffic light,0.32945162057876587,942,422,959,464
9,car,0.31675517559051514,874,589,911,614
9,traffic light,0.3097033202648163,838,430,854,466
9,traffic light,0.2840956747531891,654,278,682,357
9,car,0.26190608739852905,929,589,1071,692
10,car,0.6408454179763794,925,588,1076,727
10,truck,0.5663377642631531,580,471,866,745
10,car,0.5597865581512451,203,564,334,642
10,traffic light,0.32945162057876587,942,422,959,464
10,car,0.31675517559051514,874,589,911,614
10,traffic light,0.3097033202648163,838,430,854,466
10,traffic light,0.2840956747531891,654,278,682,357
10,car,0.26190608739852905,929,589,1071,692
11,car,0.6408454179763794,925,588,1076,727
11,truck,0.5663377642631531,580,471,866,745
11,car,0.5597865581512451,203,564,334,642
11,traffic light,0.32945162057876587,942,422,959,464
11,car,0.31675517559051514,874,589,911,614
11,traffic light,0.3097033202648163,838,430,854,466
11,traffic light,0.2840956747531891,654,278,682,357
11,car,0.26190608739852905,929,589,1071,692
12,car,0.6408454179763794,925,588,1076,727
12,truck,0.5663377642631531,580,471,866,745
12,car,0.5597865581512451,203,564,334,642
12,traffic light,0.32945162057876587,942,422,959,464
12,car,0.31675517559051514,874,589,911,614
12,traffic light,0.3097033202648163,838,430,854,466
12,traffic light,0.2840956747531891,654,278,682,357
12,car,0.26190608739852905,929,589,1071,692
13,car,0.6408454179763794,925,588,1076,727
13,truck,0.5663377642631531,580,471,866,745
13,car,0.5597865581512451,203,564,334,642
13,traffic light,0.32945162057876587,942,422,959,464
13,car,0.31675517559051514,874,589,911,614
13,traffic light,0.3097033202648163,838,430,854,466
13,traffic light,0.2840956747531891,654,278,682,357
13,car,0.26190608739852905,929,589,1071,692
14,car,0.6408454179763794,925,588,1076,727
14,truck,0.5663377642631531,580,471,866,745
14,car,0.5597865581512451,203,564,334,642
14,traffic light,0.32945162057876587,942,422,959,464
14,car,0.31675517559051514,874,589,911,614
14,traffic light,0.3097033202648163,838,430,854,466
14,traffic light,0.2840956747531891,654,278,682,357
14,car,0.26190608739852905,929,589,1071,692
15,car,0.6408454179763794,925,588,1076,727
15,truck,0.5663377642631531,580,471,866,745
15,car,0.5597865581512451,203,564,334,642
15,traffic light,0.32945162057876587,942,422,959,464
15,car,0.31675517559051514,874,589,911,614
15,traffic light,0.3097033202648163,838,430,854,466
15,traffic light,0.2840956747531891,654,278,682,357
15,car,0.26190608739852905,929,589,1071,692
16,car,0.6408454179763794,925,588,1076,727
16,truck,0.5663377642631531,580,471,866,745
16,car,0.5597865581512451,203,564,334,642
16,traffic light,0.32945162057876587,942,422,959,464
16,car,0.31675517559051514,874,589,911,614
16,traffic light,0.3097033202648163,838,430,854,466
16,traffic light,0.2840956747531891,654,278,682,357
16,car,0.26190608739852905,929,589,1071,692
17,car,0.6408454179763794,925,588,1076,727
17,truck,0.5663377642631531,580,471,866,745
17,car,0.5597865581512451,203,564,334,642
17,traffic light,0.32945162057876587,942,422,959,464
17,car,0.31675517559051514,874,589,911,614
17,traffic light,0.3097033202648163,838,430,854,466
17,traffic light,0.2840956747531891,654,278,682,357
17,car,0.26190608739852905,929,589,1071,692
18,car,0.8866133689880371,1260,585,1867,965
18,car,0.6345376372337341,1026,574,1098,632
18,car,0.6077772378921509,770,581,846,631
18,car,0.5477808713912964,853,571,897,607
18,car,0.42983728647232056,407,587,460,626
18,car,0.3883429169654846,571,571,643,638
18,car,0.3303867280483246,1790,590,1914,645
18,car,0.3019886910915375,332,583,413,668
19,car,0.8866133689880371,1260,585,1867,965
19,car,0.6345376372337341,1026,574,1098,632
19,car,0.6077772378921509,770,581,846,631
19,car,0.5477808713912964,853,571,897,607
19,car,0.42983728647232056,407,587,460,626
19,car,0.3883429169654846,571,571,643,638
19,car,0.3303867280483246,1790,590,1914,645
19,car,0.3019886910915375,332,583,413,668
20,car,0.8866133689880371,1260,585,1867,965
20,car,0.6345376372337341,1026,574,1098,632
20,car,0.6077772378921509,770,581,846,631
20,car,0.5477808713912964,853,571,897,607
20,car,0.42983728647232056,407,587,460,626
20,car,0.3883429169654846,571,571,643,638
20,car,0.3303867280483246,1790,590,1914,645
20,car,0.3019886910915375,332,583,413,668
21,car,0.8866133689880371,1260,585,1867,965
21,car,0.6345376372337341,1026,574,1098,632
21,car,0.6077772378921509,770,581,846,631
21,car,0.5477808713912964,853,571,897,607
21,car,0.42983728647232056,407,587,460,626
21,car,0.3883429169654846,571,571,643,638
21,car,0.3303867280483246,1790,590,1914,645
21,car,0.3019886910915375,332,583,413,668
22,car,0.8866133689880371,1260,585,1867,965
22,car,0.6345376372337341,1026,574,1098,632
22,car,0.6077772378921509,770,581,846,631
22,car,0.5477808713912964,853,571,897,607
22,car,0.42983728647232056,407,587,460,626
22,car,0.3883429169654846,571,571,643,638
22,car,0.3303867280483246,1790,590,1914,645
22,car,0.3019886910915375,332,583,413,668
23,car,0.8866133689880371,1260,585,1867,965
23,car,0.6345376372337341,1026,574,1098,632
23,car,0.6077772378921509,770,581,846,631
23,car,0.5477808713912964,853,571,897,607
23,car,0.42983728647232056,407,587,460,626
