frame,class,prob,xmin,ymin,xmax,ymax
0,car,0.815639078617096,0,676,139,834
0,car,0.599912166595459,936,590,1066,704
0,truck,0.3827877938747406,616,493,867,721
0,car,0.3771645724773407,204,564,328,643
1,car,0.815639078617096,0,676,139,834
1,car,0.599912166595459,936,590,1066,704
1,truck,0.3827877938747406,616,493,867,721
1,car,0.3771645724773407,204,564,328,643
2,car,0.815639078617096,0,676,139,834
2,car,0.599912166595459,936,590,1066,704
2,truck,0.3827877938747406,616,493,867,721
2,car,0.3771645724773407,204,564,328,643
3,car,0.7981688976287842,0,677,155,837
3,car,0.5870380997657776,937,590,1065,706
3,bus,0.5321417450904846,618,489,868,718
3,car,0.35300448536872864,204,564,330,643
4,car,0.7981688976287842,0,677,155,837
4,car,0.5870380997657776,937,590,1065,706
4,bus,0.5321417450904846,618,489,868,718
4,car,0.35300448536872864,204,564,330,643
5,car,0.7981688976287842,0,677,155,837
5,car,0.5870380997657776,937,590,1065,706
5,bus,0.5321417450904846,618,489,868,718
5,car,0.35300448536872864,204,564,330,643
6,car,0.7981688976287842,0,677,155,837
6,car,0.5870380997657776,937,590,1065,706
6,bus,0.5321417450904846,618,489,868,718
6,car,0.35300448536872864,204,564,330,643
7,car,0.7955698370933533,0,676,191,837
7,car,0.5644712448120117,939,588,1062,706
7,bus,0.42487406730651855,624,491,869,712
7,car,0.37361982464790344,203,564,330,645
8,car,0.7955698370933533,0,676,191,837
8,car,0.5644712448120117,939,588,1062,706
8,bus,0.42487406730651855,624,491,869,712
8,car,0.37361982464790344,203,564,330,645
9,car,0.7955698370933533,0,676,191,837
9,car,0.5644712448120117,939,588,1062,706
9,bus,0.42487406730651855,624,491,869,712
9,car,0.37361982464790344,203,564,330,645
10,car,0.7955698370933533,0,676,191,837
10,car,0.5644712448120117,939,588,1062,706
10,bus,0.42487406730651855,624,491,869,712
10,car,0.37361982464790344,203,564,330,645
11,car,0.7955698370933533,0,676,191,837
11,car,0.5644712448120117,939,588,1062,706
11,bus,0.42487406730651855,624,491,869,712
11,car,0.37361982464790344,203,564,330,645
12,car,0.7955698370933533,0,676,191,837
12,car,0.5644712448120117,939,588,1062,706
12,bus,0.42487406730651855,624,491,869,712
12,car,0.37361982464790344,203,564,330,645
13,car,0.7955698370933533,0,676,191,837
13,car,0.5644712448120117,939,588,1062,706
13,bus,0.42487406730651855,624,491,869,712
13,car,0.37361982464790344,203,564,330,645
14,car,0.43518176674842834,916,593,1092,762
14,truck,0.37780845165252686,538,450,855,770
15,car,0.43518176674842834,916,593,1092,762
15,truck,0.37780845165252686,538,450,855,770
16,car,0.43518176674842834,916,593,1092,762
16,truck,0.37780845165252686,538,450,855,770
17,car,0.43518176674842834,916,593,1092,762
17,truck,0.37780845165252686,538,450,855,770
18,car,0.43518176674842834,916,593,1092,762
18,truck,0.37780845165252686,538,450,855,770
19,car,0.43518176674842834,916,593,1092,762
19,truck,0.37780845165252686,538,450,855,770
20,car,0.43518176674842834,916,593,1092,762
20,truck,0.37780845165252686,538,450,855,770
21,car,0.43518176674842834,916,593,1092,762
21,truck,0.37780845165252686,538,450,855,770
22,car,0.43518176674842834,916,593,1092,762
22,truck,0.37780845165252686,538,450,855,770
23,car,0.43518176674842834,916,593,1092,762
23,truck,0.37780845165252686,538,450,855,770
24,car,0.43518176674842834,916,593,1092,762
24,truck,0.37780845165252686,538,450,855,770
25,car,0.43518176674842834,916,593,1092,762
25,truck,0.37780845165252686,538,450,855,770
26,car,0.43518176674842834,916,593,1092,762
26,truck,0.37780845165252686,538,450,855,770
27,car,0.43518176674842834,916,593,1092,762
27,truck,0.37780845165252686,538,450,855,770
28,bus,0.5725074410438538,571,469,857,745
28,car,0.5393580794334412,931,593,1074,721
28,car,0.4625699520111084,204,564,326,643
29,bus,0.5725074410438538,571,469,857,745
29,car,0.5393580794334412,931,593,1074,721
29,car,0.4625699520111084,204,564,326,643
30,bus,0.5725074410438538,571,469,857,745
30,car,0.5393580794334412,931,593,1074,721
30,car,0.4625699520111084,204,564,326,643
31,bus,0.5725074410438538,571,469,857,745
31,car,0.5393580794334412,931,593,1074,721
31,car,0.4625699520111084,204,564,326,643
32,bus,0.5725074410438538,571,469,857,745
32,car,0.5393580794334412,931,593,1074,721
32,car,0.4625699520111084,204,564,326,643
33,bus,0.5725074410438538,571,469,857,745
33,car,0.5393580794334412,931,593,1074,721
33,car,0.4625699520111084,204,564,326,643
34,bus,0.5725074410438538,571,469,857,745
34,car,0.5393580794334412,931,593,1074,721
34,car,0.4625699520111084,204,564,326,643
35,bus,0.5725074410438538,571,469,857,745
35,car,0.5393580794334412,931,593,1074,721
35,car,0.4625699520111084,204,564,326,643
36,bus,0.5725074410438538,571,469,857,745
36,car,0.5393580794334412,931,593,1074,721
36,car,0.4625699520111084,204,564,326,643
37,bus,0.4987933039665222,599,473,867,745
37,car,0.49576643109321594,0,691,29,783
37,truck,0.4827097952365875,599,472,867,747
37,car,0.39351189136505127,936,593,1069,701
37,car,0.3746665418148041,204,564,328,644
38,bus,0.4987933039665222,599,473,867,745
38,car,0.49576643109321594,0,691,29,783
38,truck,0.4827097952365875,599,472,867,747
38,car,0.39351189136505127,936,593,1069,701
38,car,0.3746665418148041,204,564,328,644
39,bus,0.4987933039665222,599,473,867,745
39,car,0.49576643109321594,0,691,29,783
39,truck,0.4827097952365875,599,472,867,747
39,car,0.39351189136505127,936,593,1069,701
39,car,0.3746665418148041,204,564,328,644
40,bus,0.4987933039665222,599,473,867,745
40,car,0.49576643109321594,0,691,29,783
40,truck,0.4827097952365875,599,472,867,747
40,car,0.39351189136505127,936,593,1069,701
40,car,0.3746665418148041,204,564,328,644
41,bus,0.4987933039665222,599,473,867,745
41,car,0.49576643109321594,0,691,29,783
41,truck,0.4827097952365875,599,472,867,747
41,car,0.39351189136505127,936,593,1069,701
41,car,0.3746665418148041,204,564,328,644
42,bus,0.4987933039665222,599,473,867,745
42,car,0.49576643109321594,0,691,29,783
42,truck,0.4827097952365875,599,472,867,747
42,car,0.39351189136505127,936,593,1069,701
42,car,0.3746665418148041,204,564,328,644
43,bus,0.4987933039665222,599,473,867,745
43,car,0.49576643109321594,0,691,29,783
43,truck,0.4827097952365875,599,472,867,747
43,car,0.39351189136505127,936,593,1069,701
43,car,0.3746665418148041,204,564,328,644
44,bus,0.4987933039665222,599,473,867,745
44,car,0.49576643109321594,0,691,29,783
44,truck,0.4827097952365875,599,472,867,747
